"type","group","kanji","kana","translation","pattern"
"word","L13","","ウエイター","официант",""
"word","L13","お宅","おたく","чей-то дом",""
"word","L13","大人","おとな","взрослый",""
"word","L13","外国語","がいこくご","иностранный язык",""
"word","L13","楽器","がっき","музыкальный инструмент",""
"word","L13","空手","から手","каратэ",""
"word","L13","","カレー","карри",""
"word","L13","着物","きもの","кимоно",""
"word","L13","広告","こうこく","реклама",""
"word","L13","紅茶","こうちゃ","чёрный чай",""
"word","L13","言葉","ことば","язык; слово",""
"word","L13","","ゴルフ","гольф",""
"word","L13","","セーター","свитер",""
"word","L13","象","ぞう","слон",""
"word","L13","","バイオリン","скрипка",""
"word","L13","","バイク","мотоцикл",""
"word","L13","物価","ぶっか","потребительские цены",""
"word","L13","文法","ぶんぽう","грамматика",""
"word","L13","募集","ぼしゅう","набор; рекрутинг",""
"word","L13","店","みせ","магазин",""
"word","L13","","やくざ","якудза",""
"word","L13","約束","やくそく","обещание",""
"word","L13","","レポート","реферат",""
"word","L13","私","わたくし","я (формально)",""
"word","L13","","うれしい","радостный",""
"word","L13","悲しい","かなしい","грустный",""
"word","L13","辛い","からい","острый; солёный",""
"word","L13","厳しい","きびしい","строгий",""
"word","L13","","すごい","невероятный",""
"word","L13","近い","ちかい","близкий",""
"word","L13","","いろいろ(な)","разный",""
"word","L13","幸せ","しあわせ(な)","счастливый",""
"word","L13","","だめ(な)","плохой; нельзя",""
"word","L13","編む","あむ","вязать",""
"word","L13","貸す","かす","одалживать; сдавать",""
"word","L13","頑張る","がんばる","стараться",""
"word","L13","泣く","なく","плакать",""
"word","L13","磨く","みがく","чистить (зубы)",""
"word","L13","約束を守る","やくそくをまもる","держать обещание",""
"word","L13","感動する","かんどうする","быть растроганным",""
"word","L13","","いらっしゃいます","присутствует (почт.)",""
"word","L13","〜回","〜かい","...раз",""
"word","L13","","〜キロ","...километров; ...кг",""
"word","L13","実は","じつは","на самом деле",""
"word","L13","全部","ぜんぶ","всё",""
"word","L13","〜と申します","〜ともうします","меня зовут...",""
"word","L13","一日","いちにち","один день",""
"word","L13","二日","ふつか","два дня",""
"word","L13","三日","みっか","три дня",""
"word","L13","四日","よっか","четыре дня",""
"word","L13","五日","いつか","пять дней",""
"word","L13","六日","むいか","шесть дней",""
"word","L13","七日","なのか","семь дней",""
"word","L13","八日","ようか","восемь дней",""
"word","L13","九日","ここのか","девять дней",""
"word","L13","十日","とおか","десять дней",""
"word","L14","兄","あに","мой старший брат",""
"word","L14","大家さん","おおやさん","хозяин/хозяйка",""
"word","L14","お返し","おかえし","ответный подарок",""
"word","L14","奥さん","おくさん","ваша/его жена",""
"word","L14","","おじさん","дядя; мужчина средних лет",""
"word","L14","","おばさん","тётя; женщина средних лет",""
"word","L14","","グラス","стакан",""
"word","L14","","クリスマス","Рождество",""
"word","L14","ご主人","ごしゅじん","ваш/её муж",""
"word","L14","皿","さら","тарелка",""
"word","L14","時間","じかん","время",""
"word","L14","","チケット","билет",""
"word","L14","","チョコレート","шоколад",""
"word","L14","","トレーナー","толстовка",""
"word","L14","","ぬいぐるみ","мягкая игрушка",""
"word","L14","","ネクタイ","галстук",""
"word","L14","","バレンタインデー","День святого Валентина",""
"word","L14","","ビデオカメラ","видеокамера",""
"word","L14","夫婦","ふうふ","супружеская пара",""
"word","L14","","ホワイトデー","«Белый день»",""
"word","L14","","マフラー","шарф",""
"word","L14","漫画","まんが","манга",""
"word","L14","","マンション","многоквартирный дом",""
"word","L14","","みかん","мандарин",""
"word","L14","皆さん","みなさん","все",""
"word","L14","指輪","ゆびわ","кольцо",""
"word","L14","","ラジオ","радио",""
"word","L14","両親","りょうしん","родители",""
"word","L14","履歴書","りれきしょ","резюме",""
"word","L14","欲しい","ほしい","хотеть (вещь)",""
"word","L14","","けち(な)","жадный",""
"word","L14","送る","おくる","отправлять",""
"word","L14","似合う","にあう","идти кому-то",""
"word","L14","","あきらめる","сдаваться",""
"word","L14","","あげる","давать",""
"word","L14","","くれる","давать (мне)",""
"word","L14","","できる","появляться; быть сделанным",""
"word","L14","相談する","そうだんする","советоваться",""
"word","L14","","プロポーズする","делать предложение",""
"word","L14","同じ","おなじ","такой же",""
"word","L14","〜君","〜くん","господин... (неформ.)",""
"word","L14","","こんな〜","такой...",""
"word","L14","","〜たち","[показатель множественного числа]",""
"word","L14","","ちょうど","именно",""
"word","L14","","どうしたらいい","что делать",""
"word","L14","","よく","хорошо",""
"word","L14","〜個","〜こ","[счётное для мелких предметов]",""
"word","L14","〜冊","〜さつ","[счётное для томов]",""
"word","L14","〜台","〜だい","[счётное для техники]",""
"word","L14","〜匹","〜ひき","[счётное для небольших животных]",""
"word","L14","〜本","〜ほん","[счётное для длинных предметов]",""
"word","L15","","インターネット","Интернет",""
"word","L15","絵","え","картина",""
"word","L15","映画館","えいがかん","кинотеатр",""
"word","L15","外国人","がいこくじん","иностранец",""
"word","L15","家具","かぐ","мебель",""
"word","L15","","クラブ","ночной клуб",""
"word","L15","経験","けいけん","опыт",""
"word","L15","結婚式","けっこんしき","свадьба",""
"word","L15","地震","じしん","землетрясение",""
"word","L15","締め切り","しめきり","дедлайн",""
"word","L15","","ジャケット","куртка; пиджак",""
"word","L15","習慣","しゅうかん","обычай",""
"word","L15","税金","ぜいきん","налог",""
"word","L15","卒業式","そつぎょうしき","церемония выпуска",""
"word","L15","","そば","соба",""
"word","L15","地図","ちず","карта",""
"word","L15","電池","でんち","батарейка",""
"word","L15","庭","にわ","сад",""
"word","L15","発表","はっぴょう","презентация",""
"word","L15","番組","ばんぐみ","телепередача",""
"word","L15","","プール","бассейн",""
"word","L15","","ペット","питомец",""
"word","L15","保険","ほけん","страховка",""
"word","L15","予定","よてい","план; расписание",""
"word","L15","旅館","りょかん","японская гостиница",""
"word","L15","割引券","わりびきけん","купон на скидку",""
"word","L15","広い","ひろい","просторный",""
"word","L15","売る","うる","продавать",""
"word","L15","下ろす","おろす","снимать деньги",""
"word","L15","描く","かく","рисовать",""
"word","L15","探す","さがす","искать",""
"word","L15","誘う","さそう","приглашать",""
"word","L15","","しゃべる","болтать",""
"word","L15","付き合う","つきあう","встречаться; составлять компанию",""
"word","L15","着く","つく","прибывать",""
"word","L15","保険に入る","ほけんにはいる","оформить страховку",""
"word","L15","気をつける","きをつける","быть осторожным",""
"word","L15","調べる","しらべる","изучать; выяснять",""
"word","L15","見える","みえる","быть видным",""
"word","L15","観光する","かんこうする","осматривать достопримечательности",""
"word","L15","卒業する","そつぎょうする","окончить",""
"word","L15","予約する","よやくする","бронировать",""
"word","L15","一日中","いちにちじゅう","весь день",""
"word","L15","","〜けど","но; так что",""
"word","L15","最近","さいきん","недавно; в последнее время",""
"word","L15","〜番","〜ばん","номер...",""
"word","L15","〜目","〜め","-й (порядковый)",""
"word","L15","もう一度","もういちど","ещё раз",""
"word","L16","駅員","えきいん(さん)","сотрудник станции",""
"word","L16","大きさ","おおきさ","размер",""
"word","L16","親","おや","родитель",""
"word","L16","期末試験","きまつしけん","финальный экзамен",""
"word","L16","研究","けんきゅう","исследование",""
"word","L16","","ごみ","мусор",""
"word","L16","砂糖","さとう","сахар",""
"word","L16","奨学金","しょうがくきん","стипендия",""
"word","L16","親せき","しんせき","родственники",""
"word","L16","推薦状","すいせんじょう","рекомендательное письмо",""
"word","L16","大学院","だいがくいん","аспирантура",""
"word","L16","台風","たいふう","тайфун",""
"word","L16","日","ひ","день",""
"word","L16","","ファイル","файл; портфолио",""
"word","L16","道","みち","дорога; путь",""
"word","L16","目覚まし時計","めざましどけい","будильник",""
"word","L16","汚い","きたない","грязный",""
"word","L16","起こす","おこす","будить",""
"word","L16","","おごる","угощать",""
"word","L16","落ち込む","おちこむ","впадать в уныние",""
"word","L16","困る","こまる","испытывать затруднения",""
"word","L16","出す","だす","выдавать; сдавать",""
"word","L16","連れていく","つれていく","приводить куда-то",""
"word","L16","直す","なおす","исправлять",""
"word","L16","道に迷う","みちにまよう","заблудиться",""
"word","L16","見つかる","みつかる","обнаруживаться",""
"word","L16","迎えに行く","むかえにいく","ехать встречать",""
